State,ZipCode,CombinedRate,TaxRegionName,TaxRegionCode
AK,99768,0,ALASKA STATE,AAAA
AK,99774,0,ALASKA STATE,AAAA
AK,99775,0,ALASKA STATE,AAAA
AK,99776,0,ALASKA STATE,AAAA
AK,99777,0.02,TANANA,AAJY
AK,99780,0,ALASKA STATE,AAAA
AK,99781,0,ALASKA STATE,AAAA
AK,99788,0,ALASKA STATE,AAAA
AK,99789,0,ALASKA STATE,AAAA
AK,99801,0.05,JUNEAU BURROUGH,AADB
AK,99824,0.05,JUNEAU BURROUGH,AADB
AK,99825,0,ALASKA STATE,AAAA
AK,99827,0.04,HAINES BURROUGH,AACZ
AK,99829,0.065,HOONAH,AAHG
AK,99830,0.05,KAKE,AAIR
AK,99833,0.06,PETERSBURG BOROUGH,ELBA
AK,99835,0.06,SITKA BURROUGH,AAHA
AK,99836,0.04,PORT ALEXANDER,AAIT
AK,99840,0.05,SKAGWAY,AAHI
AK,99841,0.02,TENAKEE SPRINGS,AAHJ
AK,99901,0.065,KETCHIKAN,AADW
AK,99921,0.05,CRAIG,AAGQ
AK,99925,0.055,KLAWOCK,AAGV
AK,99928,0.025,KETCHIKAN GATEWAY BURROUGH,AADV
AK,99929,0.07,WRANGELL,AAIU
AL,35004,0.1,MOODY,ADWE
AL,35005,0.1,ADAMSVILLE,ACKH
AL,35006,0.06,JEFFERSON COUNTY,ACKE
AL,35007,0.09,ALABASTER,ADRT
AL,35010,0.1,ALEXANDER,AEBT
AL,35013,0.08,ALLGOOD,AAQV
AL,35014,0.07,TALLADEGA COUNTY,ADZP
AL,35015,0.1,IRONDALE,ACNA
AL,35016,0.09,ARAB (MARSHALL CO),ADEU
AL,35019,0.085,CULLMAN COUNTY,ABMB
AL,35020,0.1,BESSEMER,ACKT
AL,35021,0.1,BESSEMER,ACKT
AL,35022,0.1,BESSEMER,ACKT
AL,35023,0.1,HUEYTOWN,ACMV
AL,35031,0.07,BLOUNT COUNTY,AAQS
AL,35032,0.08,CHILDERSBURG PJ,ADZZ
AL,35033,0.085,CULLMAN COUNTY,ABMB
AL,35034,0.08,BIBB COUNTY,AAPQ
AL,35035,0.08,BIBB COUNTY,AAPQ
AL,35036,0.1,GARDENDALE,ACMD
AL,35038,0.09,DORA,AEFW
AL,35040,0.09,CALERA (SHELBY CO),ADSD
AL,35042,0.09,CENTREVILLE,AAQA
AL,35043,0.09,CHELSEA,ADSN
AL,35044,0.09,CHILDERSBURG,ADZW
AL,35045,0.09,CLANTON,AAYR
AL,35046,0.06,CHILTON COUNTY,AAYO
AL,35048,0.1,CLAY,ACLP
AL,35049,0.08,CLEVELAND PJ,AARK
AL,35051,0.05,SHELBY COUNTY,ADRQ
AL,35052,0.06,ST. CLAIR COUNTY,ADUY
AL,35053,0.085,CULLMAN COUNTY,ABMB
AL,35054,0.06,ST. CLAIR COUNTY,ADUY
AL,35055,0.09,CULLMAN,ABMM
AL,35056,0.09,CULLMAN,ABMM
AL,35057,0.085,CULLMAN COUNTY,ABMB
AL,35058,0.085,CULLMAN COUNTY,ABMB
AL,35060,0.08,ADAMSVILLE PJ,ACKJ
AL,35061,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35062,0.09,DORA,AEFW
AL,35063,0.06,WALKER COUNTY,AEFJ
AL,35064,0.1,FAIRFIELD,ACLV
AL,35068,0.1,FULTONDALE,ACLY
AL,35070,0.0875,HANCEVILLE UN,ENKY
AL,35071,0.1,GARDENDALE,ACMD
AL,35072,0.06,CLAY COUNTY,ABDL
AL,35073,0.1,GRAYSVILLE,ACMI
AL,35074,0.09,WOODSTOCK PJ,DTFF
AL,35077,0.0875,HANCEVILLE UN,ENKY
AL,35078,0.09,HARPERSVILLE,ADSP
AL,35079,0.07,BLOUNT COUNTY,AAQS
AL,35080,0.09,HELENA (SHELBY CO),ADSU
AL,35082,0.06,CLAY COUNTY,ABDL
AL,35083,0.085,CULLMAN COUNTY,ABMB
AL,35085,0.06,CHILTON COUNTY,AAYO
AL,35087,0.085,CULLMAN COUNTY,ABMB
AL,35089,0.06,COOSA COUNTY,ABIO
AL,35091,0.1,KIMBERLY,ACND
AL,35094,0.1,LEEDS (JEFFERSON CO),ACNI
AL,35096,0.1,LINCOLN,AEAD
AL,35097,0.09,LOCUST FORK,AARR
AL,35098,0.085,CULLMAN COUNTY,ABMB
AL,35111,0.06,JEFFERSON COUNTY,ACKE
AL,35112,0.1,MARGARET,ADVZ
AL,35114,0.09,ALABASTER,ADRT
AL,35115,0.09,MONTEVALLO,ADTJ
AL,35116,0.1,MORRIS,ACNX
AL,35117,0.06,JEFFERSON COUNTY,ACKE
AL,35118,0.06,JEFFERSON COUNTY,ACKE
AL,35119,0.1,GARDENDALE,ACMD
AL,35120,0.09,ODENVILLE,ADWJ
AL,35121,0.1,ONEONTA,AARW
AL,35123,0.1,PINSON,ACOW
AL,35124,0.09,PELHAM,ADTQ
AL,35125,0.06,ST. CLAIR COUNTY,ADUY
AL,35126,0.06,JEFFERSON COUNTY,ACKE
AL,35127,0.1,PLEASANT GROVE,ACOP
AL,35128,0.1,PELL,ADWO
AL,35130,0.06,WALKER COUNTY,AEFJ
AL,35131,0.1,RAGLAND,ADWT
AL,35133,0.07,BLOUNT COUNTY,AAQS
AL,35135,0.1,RIVERSIDE,ADXC
AL,35136,0.09,ROCKFORD,ABJA
AL,35137,0.07,CALERA PJ (SHELBY CO),ADSG
AL,35139,0.08,ADAMSVILLE PJ,ACKJ
AL,35142,0.09,HOOVER (JEFFERSON CO),ACMQ
AL,35143,0.05,SHELBY COUNTY,ADRQ
AL,35146,0.06,ST. CLAIR COUNTY,ADUY
AL,35147,0.05,SHELBY COUNTY,ADRQ
AL,35148,0.095,SUMITON (WALKER CO),AEHN
AL,35149,0.07,TALLADEGA COUNTY,ADZP
AL,35150,0.08,SYLACAUGA,AEAU
AL,35151,0.07,TALLADEGA COUNTY,ADZP
AL,35160,0.1,TALLADEGA,AEBB
AL,35171,0.09,THORSBY,AAZN
AL,35172,0.07,BLOUNT COUNTY,AAQS
AL,35173,0.1,TRUSSVILLE (JEFFERSON CO),ACPW
AL,35175,0.05,MARSHALL COUNTY,ADEM
AL,35176,0.05,SHELBY COUNTY,ADRQ
AL,35178,0.09,VINCENT (SHELBY CO),ADUF
AL,35179,0.085,CULLMAN COUNTY,ABMB
AL,35180,0.07,BLOUNT COUNTY,AAQS
AL,35181,0.08,BROOKSIDE UN,ACLL
AL,35182,0.06,ST. CLAIR COUNTY,ADUY
AL,35183,0.06,COOSA COUNTY,ABIO
AL,35184,0.08,BIBB COUNTY,AAPQ
AL,35185,0.07,WESTOVER PJ,DYGD
AL,35186,0.08,WILSONVILLE,ADUM
AL,35187,0.08,WILTON,ADUR
AL,35188,0.1,WOODSTOCK (BIBB CO),AAQQ
AL,35201,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35202,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35203,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35204,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35205,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35206,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35207,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35208,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35209,0.1,HOMEWOOD,ACML
AL,35210,0.1,IRONDALE,ACNA
AL,35211,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35212,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35213,0.09,MOUNTAIN BROOK,ACOC
AL,35214,0.06,JEFFERSON COUNTY,ACKE
AL,35215,0.08,CENTER POINT,EFRG
AL,35216,0.09,VESTAVIA HILLS (JEFFERSON CO),ACQB
AL,35217,0.1,TARRANT,ACPM
AL,35218,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35219,0.1,HOMEWOOD,ACML
AL,35220,0.08,CENTER POINT,EFRG
AL,35221,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35222,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35223,0.09,MOUNTAIN BROOK,ACOC
AL,35224,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35226,0.09,HOOVER (JEFFERSON CO),ACMQ
AL,35228,0.1,MIDFIELD,ACNS
AL,35229,0.1,HOMEWOOD,ACML
AL,35231,0.06,JEFFERSON COUNTY,ACKE
AL,35232,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35233,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35234,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35235,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35236,0.09,HOOVER (JEFFERSON CO),ACMQ
AL,35237,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35238,0.05,SHELBY COUNTY,ADRQ
AL,35242,0.05,SHELBY COUNTY,ADRQ
AL,35243,0.09,VESTAVIA HILLS (JEFFERSON CO),ACQB
AL,35244,0.09,HOOVER (JEFFERSON CO),ACMQ
AL,35249,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35253,0.1,HOMEWOOD,ACML
AL,35254,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35255,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35259,0.1,HOMEWOOD,ACML
AL,35260,0.09,HOOVER (JEFFERSON CO),ACMQ
AL,35261,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35266,0.1,HOMEWOOD,ACML
AL,35270,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35282,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35285,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35293,0.1,HOMEWOOD,ACML
AL,35294,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35295,0.1,BIRMINGHAM (JEFFERSON CO),ACKY
AL,35401,0.09,TUSCALOOSA,AEFC
AL,35402,0.09,TUSCALOOSA,AEFC
AL,35403,0.09,TUSCALOOSA,AEFC
AL,35404,0.09,TUSCALOOSA,AEFC
AL,35405,0.09,TUSCALOOSA,AEFC
AL,35406,0.09,TUSCALOOSA,AEFC
AL,35407,0.09,TUSCALOOSA,AEFC
AL,35440,0.09,TUSCALOOSA COUNTY,AEDK
AL,35441,0.07,HALE COUNTY,ACDO
AL,35442,0.09,ALICEVILLE,ADNS
AL,35443,0.07,GREENE COUNTY,ACCQ
AL,35444,0.09,BROOKWOOD,AEDP
AL,35446,0.09,TUSCALOOSA COUNTY,AEDK
AL,35447,0.08,PICKENS COUNTY,ADNP
AL,35448,0.07,GREENE COUNTY,ACCQ
AL,35449,0.1,COALING,AEDW
AL,35452,0.09,NORTHPORT PJ,AEEU
AL,35453,0.09,TUSCALOOSA PJ,AEFF
AL,35456,0.09,TUSCALOOSA PJ,AEFF
AL,35457,0.09,TUSCALOOSA COUNTY,AEDK
AL,35458,0.09,TUSCALOOSA COUNTY,AEDK
AL,35459,0.07,SUMTER COUNTY,ADYD
AL,35460,0.07,SUMTER COUNTY,ADYD
AL,35461,0.08,PICKENS COUNTY,ADNP
AL,35462,0.1,EUTAW,ACDA
AL,35463,0.09,TUSCALOOSA COUNTY,AEDK
AL,35464,0.07,SUMTER COUNTY,ADYD
AL,35466,0.08,PICKENS COUNTY,ADNP
AL,35468,0.09,TUSCALOOSA COUNTY,AEDK
AL,35469,0.07,GREENE COUNTY,ACCQ
AL,35470,0.07,SUMTER COUNTY,ADYD
AL,35471,0.08,PICKENS COUNTY,ADNP
AL,35473,0.09,NORTHPORT,AEER
AL,35474,0.07,HALE COUNTY,ACDO
AL,35475,0.09,TUSCALOOSA PJ,AEFF
AL,35476,0.09,NORTHPORT,AEER
AL,35477,0.07,SUMTER COUNTY,ADYD
AL,35478,0.09,TUSCALOOSA PJ,AEFF
AL,35480,0.09,TUSCALOOSA COUNTY,AEDK
AL,35481,0.08,PICKENS COUNTY,ADNP
AL,35482,0.09,TUSCALOOSA COUNTY,AEDK
AL,35486,0.09,TUSCALOOSA,AEFC
AL,35490,0.09,VANCE PJ (TUSCALOOSA CO),DRYC
AL,35491,0.07,GREENE COUNTY,ACCQ
AL,35501,0.09,JASPER,AEGK
AL,35502,0.09,JASPER,AEGK
AL,35503,0.06,WALKER COUNTY,AEFJ
AL,35504,0.06,WALKER COUNTY,AEFJ
AL,35540,0.06,WINSTON COUNTY,AELF
AL,35541,0.06,WINSTON COUNTY,AELF
AL,35542,0.06,FAYETTE COUNTY,ABYV
AL,35543,0.09,BEAR CREEK,ADDF
AL,35544,0.06,LAMAR COUNTY,ACQN
AL,35545,0.07,BELK,ABYY
AL,35546,0.06,FAYETTE COUNTY,ABYV
AL,35548,0.09,BRILLIANT,ADDK
AL,35549,0.09,CARBON HILL,AEFO
AL,35550,0.06,WALKER COUNTY,AEFJ
AL,35551,0.075,HALEYVILLE PJ (WINSTON CO),AEMC
AL,35552,0.06,MARION COUNTY,ADDC
AL,35553,0.06,WINSTON COUNTY,AELF
AL,35554,0.06,FAYETTE COUNTY,ABYV
AL,35555,0.06,FAYETTE COUNTY,ABYV
AL,35559,0.07,GLEN ALLEN (FAYETTE CO),ABZP
AL,35560,0.06,WALKER COUNTY,AEFJ
AL,35563,0.09,GUIN,ADDQ
AL,35564,0.08,HACKLEBURG,ADDV
AL,35565,0.09,HALEYVILLE (WINSTON CO),AELZ
AL,35570,0.09,HAMILTON,ADEC
AL,35571,0.06,FRANKLIN COUNTY,ABZX
AL,35572,0.06,WINSTON COUNTY,AELF
AL,35573,0.07,KANSAS,AEGP
AL,35574,0.06,LAMAR COUNTY,ACQN
AL,35575,0.08,LYNN,AEMG
AL,35576,0.06,LAMAR COUNTY,ACQN
AL,35577,0.07,LYNN PJ,DRWZ
AL,35578,0.06,WALKER COUNTY,AEFJ
AL,35579,0.06,WALKER COUNTY,AEFJ
AL,35580,0.06,WALKER COUNTY,AEFJ
AL,35581,0.06,FRANKLIN COUNTY,ABZX
AL,35582,0.085,RED BAY,ACAM
AL,35584,0.08,SIPSEY,AEHI
AL,35585,0.06,FRANKLIN COUNTY,ABZX
AL,35586,0.06,LAMAR COUNTY,ACQN
AL,35587,0.06,WALKER COUNTY,AEFJ
AL,35592,0.06,LAMAR COUNTY,ACQN
AL,35593,0.06,FRANKLIN COUNTY,ABZX
AL,35594,0.09,WINFIELD (MARION CO),ADEH
AL,35601,0.09,DECATUR (MORGAN CO),ADLL
AL,35602,0.09,DECATUR (MORGAN CO),ADLL
AL,35603,0.09,DECATUR (MORGAN CO),ADLL
AL,35610,0.055,LAUDERDALE COUNTY,ACRR
AL,35611,0.09,ATHENS,ACWC
AL,35612,0.09,ATHENS,ACWC
AL,35613,0.06,LIMESTONE COUNTY,ACVU
AL,35614,0.06,LIMESTONE COUNTY,ACVU
AL,35615,0.08,DECATUR UN,CXKU
AL,35616,0.055,COLBERT COUNTY,EHTP
AL,35617,0.055,LAUDERDALE COUNTY,ACRR
AL,35618,0.07,LAWRENCE COUNTY,ACTF
AL,35619,0.07,LAWRENCE COUNTY,ACTF
AL,35620,0.06,LIMESTONE COUNTY,ACVU
AL,35621,0.07,MORGAN COUNTY,ADLI
AL,35622,0.07,MORGAN COUNTY,ADLI
AL,35630,0.085,FLORENCE,ACSB
AL,35631,0.085,FLORENCE,ACSB
AL,35632,0.085,FLORENCE,ACSB
AL,35633,0.055,LAUDERDALE COUNTY,ACRR
AL,35634,0.055,LAUDERDALE COUNTY,ACRR
AL,35640,0.09,HARTSELLE,ADME
AL,35643,0.07,LAWRENCE COUNTY,ACTF
AL,35645,0.055,LAUDERDALE COUNTY,ACRR
AL,35646,0.055,COLBERT COUNTY,EHTP
AL,35647,0.06,LIMESTONE COUNTY,ACVU
AL,35648,0.055,LAUDERDALE COUNTY,ACRR
AL,35649,0.08,DECATUR UN,CXKU
AL,35650,0.07,LAWRENCE COUNTY,ACTF
AL,35651,0.07,LAWRENCE COUNTY,ACTF
AL,35652,0.055,LAUDERDALE COUNTY,ACRR
AL,35653,0.09,RUSSELLVILLE,ACAR
AL,35654,0.06,FRANKLIN COUNTY,ABZX
AL,35660,0.09,SHEFFIELD,ABHC
AL,35661,0.09,MUSCLE SHOALS,ABGX
AL,35670,0.07,MORGAN COUNTY,ADLI
AL,35671,0.06,LIMESTONE COUNTY,ACVU
AL,35672,0.07,LAWRENCE COUNTY,ACTF
AL,35673,0.07,LAWRENCE COUNTY,ACTF
AL,35674,0.09,TUSCUMBIA,ABHH
AL,35677,0.055,LAUDERDALE COUNTY,ACRR
AL,35739,0.06,LIMESTONE COUNTY,ACVU
AL,35740,0.09,BRIDGEPORT,ACHM
AL,35741,0.055,MADISON COUNTY,ACZR
AL,35742,0.06,LIMESTONE COUNTY,ACVU
AL,35744,0.06,JACKSON COUNTY,ACHJ
AL,35745,0.06,JACKSON COUNTY,ACHJ
AL,35746,0.06,JACKSON COUNTY,ACHJ
AL,35747,0.05,MARSHALL COUNTY,ADEM
AL,35748,0.055,MADISON COUNTY,ACZR
AL,35749,0.055,MADISON COUNTY,ACZR
AL,35750,0.055,MADISON COUNTY,ACZR
AL,35751,0.06,JACKSON COUNTY,ACHJ
AL,35752,0.09,HOLLYWOOD,ACIE
AL,35754,0.07,MORGAN COUNTY,ADLI
AL,35755,0.08,LANGSTON,ACIS
AL,35756,0.06,LIMESTONE COUNTY,ACVU
AL,35757,0.055,MADISON COUNTY,ACZR
AL,35758,0.09,MADISON (MADISON CO),ADAM
AL,35759,0.055,MADISON COUNTY,ACZR
AL,35760,0.055,MADISON COUNTY,ACZR
AL,35761,0.055,MADISON COUNTY,ACZR
AL,35762,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35763,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35764,0.06,JACKSON COUNTY,ACHJ
AL,35765,0.06,JACKSON COUNTY,ACHJ
AL,35766,0.06,JACKSON COUNTY,ACHJ
AL,35767,0.055,MADISON COUNTY,ACZR
AL,35768,0.09,SCOTTSBORO,ACJD
AL,35769,0.09,SCOTTSBORO,ACJD
AL,35771,0.06,JACKSON COUNTY,ACHJ
AL,35772,0.075,STEVENSON PJ,ACJQ
AL,35773,0.055,MADISON COUNTY,ACZR
AL,35774,0.06,JACKSON COUNTY,ACHJ
AL,35775,0.07,MORGAN COUNTY,ADLI
AL,35776,0.06,JACKSON COUNTY,ACHJ
AL,35801,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35802,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35803,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35804,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35805,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35806,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35807,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35808,0.055,MADISON COUNTY,ACZR
AL,35809,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35810,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35811,0.055,MADISON COUNTY,ACZR
AL,35812,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35813,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35814,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35815,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35816,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35824,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35893,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35894,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35895,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35896,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35897,0.055,MADISON COUNTY,ACZR
AL,35899,0.09,HUNTSVILLE (MADISON CO),ADAD
AL,35901,0.09,GADSDEN,ABXF
AL,35902,0.09,GADSDEN,ABXF
AL,35903,0.09,GADSDEN,ABXF
AL,35904,0.09,GADSDEN,ABXF
AL,35905,0.09,GLENCOE (ETOWAH CO),ABXK
AL,35906,0.09,RAINBOW,ABYB
AL,35907,0.09,SOUTHSIDE (ETOWAH CO),ABYL
AL,35950,0.09,ALBERTVILLE,ADEP
AL,35951,0.09,ALBERTVILLE,ADEP
AL,35952,0.05,ETOWAH COUNTY,ABWN
AL,35953,0.06,ST. CLAIR COUNTY,ADUY
AL,35954,0.05,ETOWAH COUNTY,ABWN
AL,35956,0.05,ETOWAH COUNTY,ABWN
AL,35957,0.08,BOAZ (MARSHALL CO),ADEZ
AL,35958,0.06,JACKSON COUNTY,ACHJ
AL,35959,0.075,CHEROKEE COUNTY,AAXC
AL,35960,0.075,CHEROKEE COUNTY,AAXC
AL,35961,0.05,DEKALB COUNTY,ABQP
AL,35962,0.05,DEKALB COUNTY,ABQP
AL,35963,0.05,DEKALB COUNTY,ABQP
AL,35964,0.08,DOUGLAS,ADFE
AL,35966,0.06,JACKSON COUNTY,ACHJ
AL,35967,0.08,FORT PAYNE,ABRG
AL,35968,0.05,DEKALB COUNTY,ABQP
AL,35971,0.05,DEKALB COUNTY,ABQP
AL,35972,0.05,ETOWAH COUNTY,ABWN
AL,35973,0.075,CHEROKEE COUNTY,AAXC
AL,35974,0.065,GERALDINE PJ,ABRT
AL,35975,0.05,DEKALB COUNTY,ABQP
AL,35976,0.07,GUNTERSVILLE PJ,ADFR
AL,35978,0.09,HENAGAR,ABRX
AL,35979,0.05,DEKALB COUNTY,ABQP
AL,35980,0.05,MARSHALL COUNTY,ADEM
AL,35981,0.07,IDER PJ,ABSK
AL,35983,0.075,CHEROKEE COUNTY,AAXC
AL,35984,0.05,DEKALB COUNTY,ABQP
AL,35986,0.09,RAINSVILLE,ABTH
